query,intent
Car with wide doors easy access family,family
Car that never gets stuck India,off_road
Car with electronic stability control,safety
Car with 150 horsepower,performance
Car for Uttarakhand mountain driving,off_road
Hydrogen fuel cell car India,fuel
Self driving gear car India,automatic
Diesel automatic car India,fuel
Car with ISOFIX for baby seat,family
Car with easy to reach features,comfort
First car under 5 lakhs India,first_car
Car with coil spring soft suspension,comfort
Automatic car for elderly India,automatic
Car with soft suspension,comfort
Car for desert sand driving,off_road
Affordable hatchback India,budget
Automatic car good for hills,automatic
Car with best cabin space in segment,family
Car with most torque under 20 lakhs,performance
Car with EBD and ABS,safety
Which is better CNG or petrol car,fuel
Powerful car budget India,performance
Best automatic under 10 lakhs India,automatic
Car with auto park assist,automatic
Car for first time buyer,first_car
Car under 9 lakhs,budget
Car engine tuned for efficiency,mileage
Car with traction control system,safety
Self shifting gearbox car,automatic
Car with performance tyres,performance
Low emission car India,fuel
Fast accelerating car India,performance
Car with lumbar support,comfort
Long distance diesel car India,fuel
Car with ambient interior lighting,comfort
Most comfortable SUV India,comfort
Car that uses less petrol,mileage
Best average giving car India,mileage
Comfortable long drive car India,comfort
Car with cleanest emissions India,fuel
Capable all terrain SUV India,off_road
Car with sport tuned exhaust note,performance
First car under 10 lakhs India,first_car
Car with 3 rear seat belts,family
Car with best fuel average India,mileage
Best fuel for long drives India,fuel
Accident proof car India,safety
Car built for broken kachchi roads India,off_road
Affordable first purchase car,budget
Car with dual clutch fast automatic,automatic
Car with noise cancellation cabin,comfort
Best CNG car India,fuel
Maruti as first car India,first_car
Car that fits my budget,budget
Sabse sasta car India,budget
Car with strong low end torque,performance
Car under 8 lakhs,budget
Diesel car under 15 lakhs,fuel
Powerful diesel car India,fuel
Car with high wading depth,off_road
Bargain car India,budget
Car with well positioned controls,comfort
Car with sequential automatic gearbox,automatic
Tata EV India,fuel
Rugged SUV India,off_road
Driver focused performance car,performance
Electric sedan India,fuel
Car with 4WD four wheel drive,off_road
Car with strong bumper safety,safety
AMT car pros cons India,automatic
Lowest running cost car,budget
Fuel saving car India,mileage
Car with wireless Apple CarPlay,comfort
Fuel saver car India,mileage
CNG car India,fuel
Cheap reliable first car India,first_car
Low cost hatchback India,budget
Car for Ladakh road trip,off_road
Car that runs on CNG,fuel
Car with good visibility new driver,first_car
Best car under 11 lakh,budget
Mild hybrid car India,fuel
Best car under 13 lakh,budget
Best CVT car mileage India,automatic
Car with bucket seats sport,performance
Ghar ke sabhi ke liye car,family
Car with cooled ventilated seats summer,comfort
Car with home charging option,fuel
Car with tumble fold third row seats,family
Car with sunroof for family,family
Car with 1.5 turbo engine power,performance
Car with flexible seating configuration,family
CNG automatic car India,automatic
Hyundai electric car India,fuel
Car with rock crawling capability India,off_road
Low budget car with warranty,budget
Best car under 6 lakh,budget
Smooth automatic gearbox car India,automatic
Car with wireless charging pad,comfort
Car with refined torque converter,automatic
Multi fuel car India,fuel
Bade parivaar ke liye SUV,family
Car with front and rear airbags,safety
Car with light clutch for learner,first_car
CNG SUV India,fuel
First car that is easy to insure,first_car
Car for hill climb capability,off_road
Petrol hatchback India,fuel
Hatchback as first car India,first_car
Car for back pain relief driving,comfort
Car that is easy to drive in traffic,first_car
Petrol car 22 kmpl India,mileage
Inexpensive reliable car India,budget
Structurally strongest car India,safety
High performance car India,performance
Car with 0 to 100 under 8 seconds,performance
CNG vs petrol car suggestion,fuel
Car with sporty handling,performance
Kachchi sadak ke liye strong car,off_road
Car with high tensile steel structure,safety
Car with anti lock brakes,safety
Car that stops quickly in emergency,safety
Car with creep function automatic,automatic
Automatic car daily commute India,automatic
Car with 4x4 and high clearance budget,off_road
Reliable first car brand India,first_car
Car for long distance on single tank,mileage
Car with most safety certifications,safety
Car with limited slip differential,performance
Most reliable automatic car India,automatic
Car with 3 row seating,family
First car for working professional India,first_car
Factory fitted CNG car,fuel
Low budget city car,budget
Most economical car to run,mileage
Car with independent front suspension off road,off_road
Cheapest hatchback India,budget
Affordable entry level car,budget
Car at cheapest rate,budget
Safe first car for new driver,first_car
Car with battery warranty EV India,fuel
Car with parking collision warning,safety
Car with emergency SOS system,safety
Bharat NCAP 5 star car,safety
Car suitable for long highway trips mileage,mileage
Automatic hatchback India,automatic
Car with sporty dashboard,performance
Car with automatic hold function,automatic
Safe car for expressway driving,safety
Jimny type off roader India,off_road
Car with maximum passive safety features,safety
First car that is easy on pocket,first_car
Car with turbocharged petrol engine,performance
Capable off road SUV India,off_road
Car with hazard lights on crash detection,safety
Car under 11 lakhs,budget
Car with reclining rear seats,comfort
Green car India eco friendly,fuel
Car for airport pickup with family,family
Car with powerful engine India 2024,performance
Car for Rajasthan desert terrain,off_road
EV car for apartment dweller India,fuel
I want a diesel car,fuel
Best ride quality car under 15 lakhs,comfort
Powerful SUV India,performance
Pehli car ka suggestion,first_car
EV car no petrol dependency,fuel
Car with good top speed,performance
Car with NCAP tested safety,safety
Best mileage diesel car India,mileage
Versatile family car India,family
I want to buy my first car,first_car
Car with intuitive infotainment comfort,comfort
Best resale value first car India,first_car
Car with most comfortable seats India,comfort
Car for pulling stuck vehicle,off_road
First car suggestion India,first_car
Car with wide rear seat,family
4WD SUV affordable India,off_road
Practical family car India,family
Safest hatchback India,safety
Low fuel consumption SUV,mileage
Car for remote Himalayan roads India,off_road
Car with powerful diesel engine,performance
Safest SUV India,safety
Car with 6 speed automatic gearbox,automatic
Car with front parking sensors,safety
I want a hybrid car,fuel
Car with low service cost first time,first_car
Auto hold brake car India,automatic
Small easy to park first car,first_car
iMT intelligent manual car,automatic
Car with stiff chassis,performance
Car with ISOFIX child seat mounts,safety
Car with ventilated disc brakes performance,performance
Cheapest SUV India,budget
Car with lowest price tag,budget
Car with advanced driver assistance,safety
Car with crumple zones,safety
Car with ample headroom all rows,family
Car for uneven farm roads India,off_road
Car with best child protection rating,safety
Low fuel consumption MPV,mileage
First car with strong service network,first_car
Van type family car India,family
First car for office commute India,first_car
Best car under 9 lakh,budget
Low running cost per km car,mileage
Car jo crash mein safe ho,safety
Car with paddle shifters automatic,automatic
Car without clutch pedal,automatic
Car with 200 horsepower,performance
Automatic transmission affordable India,automatic
Car with longest EV range India,fuel
Car with pass through seating,family
Car with automatic headlamps,safety
Car that is easy to parallel park,first_car
Car with highest bhp in segment India,performance
People carrier India,family
Minimum investment car India,budget
Car good for city first car,first_car
Car with good headlights safety,safety
Common rail diesel car India,fuel
Car with short wheelbase off road agility,off_road
Car for beginners India,first_car
Best diesel car India,fuel
Naye driver ke liye gaadi,first_car
First car suggestion for graduate,first_car
Car that seats entire family comfortably,family
Low maintenance first car India,first_car
10 lakh se kam mein car,budget
Kam paise mein car,budget
Car with hill hold assist,safety
Car with off road terrain modes 4x4,off_road
Small engine efficient car India,mileage
Car with rear wheel drive,performance
I need an affordable car,budget
Car with most airbags,safety
Powerful hatchback India,performance
Diesel vs petrol car for daily use,fuel
Sports car India,performance
Best mileage petrol car India,mileage
Car with enough legroom all three rows,family
Lowest price sedan India,budget
Best mileage cheap car India,budget
Car with easy entry exit,family
Ex showroom price low car,budget
CNG car under 10 lakhs,fuel
Petrol car under 10 lakhs,fuel
Quick diesel engine India,performance
Family sedan India,family
Easy to park compact first car,first_car
Electric car under 15 lakhs,fuel
Long wheelbase family car India,family
Car under 10 lakhs,budget
Car with good fuel efficiency,mileage
3 row MPV India,family
Car with 3 point seatbelts all rows,safety
Low cost car India,budget
EV automatic gearbox India,automatic
Car with 200mm ground clearance,off_road
Cheap car easy to maintain,budget
Safety first car India,safety
Car with drive mode selector,performance
Automatic car for disabled driver,automatic
Car with roof rails for luggage family,family
Automatic car for daily use,automatic
Parivar ke liye car,family
Mahindra family SUV India,family
Car with high ground clearance,off_road
Petrol ki bachat karne wali car,mileage
Traffic mein automatic car suggestion,automatic
Car with vehicle stability control,safety
First car good fuel economy,first_car
Best car for low budget,budget
Less petrol more distance car,mileage
Car with plush seats,comfort
Car with lowest on road price,budget
Car with padded door panels,comfort
Car with good connectivity features,comfort
Car with rear AC vents,comfort
Car with rear parking sensors,safety
Car that survived crash test,safety
Safest car under 10 lakhs India,safety
Car for Spiti Valley roads,off_road
Car with low centre of gravity,performance
Car with bench seat third row,family
Car with automatic emergency braking,safety
Automatic car under 12 lakhs,automatic
Fast diesel car India,performance
Car with 4x4 locking differential India,off_road
Best 7 seater under 25 lakhs India,family
Car with AMG like power,performance
Car with low step in height,family
All rounder first car India,first_car
Car with responsive throttle,performance
Car with third row seating,family
Economical car to buy,budget
Car with 18 plus kmpl mileage,mileage
No gear change car India,automatic
Car with crawl control off road,off_road
Aaraam deh car India,comfort
Rapid acceleration car India,performance
Car with high clearance monsoon,off_road
Fuel agnostic car India,fuel
Car with all wheel drive sport,performance
Best fuel type for Delhi driving,fuel
Car with small turning radius first time,first_car
First car with good visibility,first_car
Best ride quality car under 20 lakhs,comfort
Car with CNG kit,fuel
Ethanol blended petrol car India,fuel
Car for bad village roads,off_road
Diesel MPV India,fuel
Spacious interior family car,family
Car with lane departure warning,safety
Car with large alloy wheels,performance
Best CVT car India,automatic
Safest car under 15 lakhs India,safety
Affordable crossover India,budget
Car with fuel consumption display,mileage
Fast car India,performance
Racing inspired car India,performance
Car for muddy waterlogged roads,off_road
Car with easy EMI for first time buyer,first_car
Fuel efficient first car India,first_car
Car that fits entire joint family India,family
First car with good NCAP safety,first_car
Car with ARAI mileage above 20,mileage
Petrol SUV India,fuel
Car with large displacement engine,performance
Quiet cabin car India,comfort
Car with large panoramic roof family,family
I want a cheap car,budget
Car with sport mode,performance
Car for hill station driving,off_road
Ladder frame body on frame SUV India,off_road
Car with best power to weight ratio,performance
Hyundai CNG car India,fuel
Electric SUV India,fuel
Car for enthusiast driver,performance
Hyundai fuel efficient car,mileage
Car with best city mileage,mileage
Best petrol car India,fuel
Automatic petrol hybrid India,automatic
Car for new driver India,first_car
Car within 4 lakh,budget
Entry level car first purchase,first_car
Long range car India single tank,mileage
Car with load limiting seatbelts,safety
Clutch free car India,automatic
Low price CNG car India,budget
Car with reinforced cabin safety,safety
Best mileage car under 15 lakhs,mileage
I want a powerful car,performance
Car with large boot luggage space,family
Car with 400 Nm torque,performance
Hybrid car good mileage India,mileage
Car with smooth gearbox shifts comfort,comfort
Car with wood finish interior trim,comfort
Long range petrol car India,mileage
Spacious car for family,family
Low fuel consumption sedan,mileage
Car at minimum cost,budget
Car for 22 year old first purchase,first_car
Car with excellent km per litre,mileage
Hardcore off roader India,off_road
Car with independent rear suspension comfort,comfort
Car with variable valve timing economy,mileage
Car with large windows family,family
Car that is cheap to refuel,mileage
Tata fuel efficient car,mileage
Car under 5 lakhs,budget
Car that is best for beginner budget India,first_car
Car with quiet diesel engine,comfort
Low cost small car India,budget
Car with stable highway composure,comfort
Car with second row storage family,family
Car safe for children,safety
CNG car best mileage,mileage
Automatic car easy parking India,automatic
Car with strong body shell,safety
Car with curtain airbags,safety
CNG wali gaadi India,fuel
Car with automatic transmission for senior citizens,automatic
Car with high fuel efficiency rating,mileage
Do everything first car India,first_car
MPV for family India,family
Car with proven high mileage reviews,mileage
Cheap electric car India,budget
Car for river crossing water wading,off_road
Car with high fuel economy,mileage
Car with one pedal driving EV,fuel
Cheapest car to run India,budget
Car to tackle speed breakers easily,off_road
Car with third row bench seat India,family
Car with floating ride quality,comfort
Single speed automatic EV India,automatic
Entry level affordable car,budget
Car with skid plates protection,off_road
Tata family car India,family
Maruti CNG car India,fuel
Car with dual zone climate control,comfort
Most comfortable sedan India,comfort
Easy to maintain first car,first_car
Engine pe zor dene wali car,performance
Cost effective car India,budget
Bijli wali gaadi India,fuel
Car for highway cruising relaxed,comfort
Car for newly employed professional,first_car
Car with cushioned ride,comfort
Car recommended for safety,safety
Diesel SUV India,fuel
Car with reinforced underbody,off_road
I want an automatic car,automatic
I want an electric car,fuel
Car with climate control AC,comfort
6 seater car India,family
Cheap petrol car India,budget
Best off road SUV India,off_road
Long distance family trip car India,family
Petrol ya diesel car India,fuel
CNG sedan India,fuel
Car with engine that loves to rev,performance
Car with minimum road tax,budget
Car under 13 lakhs,budget
Car for someone who never owned car,first_car
Car with seatbelt reminder,safety
Safest car to travel with kids,safety
Car with active suspension sport,performance
Car with paddle shifters sport,performance
Trustworthy first car India,first_car
Car with fatigue detection,safety
Car under 12 lakhs,budget
Economy car fuel India,mileage
Car for track day India,performance
Car for family with luggage space,family
Practical first car India,first_car
Crash tested car India,safety
Petrol automatic car India,automatic
First car do not worry about repairs,first_car
Best electric car India,fuel
CRDI diesel engine car,fuel
E20 compatible car India,fuel
Smooth automatic shifting car India,automatic
Car that stretches every litre,mileage
Car with good ride on broken roads,comfort
Car with good seat cushioning,comfort
Diesel wali gaadi India,fuel
Electric car under 20 lakhs,fuel
Car with highest redline engine India,performance
Low fuel consumption hatchback,mileage
Car with electronic brakeforce distribution,safety
Car with vibration free cabin,comfort
Car with no clutch wear automatic,automatic
Car with refined engine vibrations,comfort
Fast car under 20 lakhs India,performance
Car suitable for family outings,family
Budget compact car India,budget
Low petrol consumption car,mileage
EV ya petrol car India,fuel
Self charging hybrid India,fuel
High performance variant car India,performance
Car that gives 25 kmpl,mileage
Car with best highway mileage,mileage
Car with fold flat seats,family
Off road capable budget car India,off_road
Car for family vacation India,family
Best family car India,family
Car within 18 lakh,budget
Car with rock mode terrain,off_road
Cheap car good resale value,budget
Car that loves high revs,performance
First car for occasional highway use,first_car
Low insurance first car India,first_car
Lightweight easy to handle first car,first_car
Car with good NVH levels,comfort
Automatic car with touchscreen,automatic
Most comfortable MPV India,comfort
Discount car India,budget
Car under 15 lakhs,budget
Car with performance camshaft India,performance
Tata CNG car India,fuel
Lowest priced car in India,budget
Budget car for daily commute,budget
Car with precise steering,performance
Car with best declared mileage,mileage
Maruti 7 seater car India,family
First car with small dimensions,first_car
BS6 compliant car India,fuel
Car with sand mode driving,off_road
I want a high mileage car,mileage
Car for kids and adults,family
Office commute fuel efficient car,mileage
7 seater MPV India,family
Car with rear entertainment system,family
Car for someone who just got licence,first_car
Best DCT performance car India,automatic
Car with mood lighting interior,comfort
Car good mileage daily commute,mileage
Car with race track capability India,performance
Car with large windows comfort,comfort
