query,intent
Car with 220mm plus ground clearance,off_road
Low premium insurance first car,first_car
Car with approach departure angle,off_road
N Line performance car India,performance
Budget friendly first car India,first_car
Car with premium interior,comfort
Safe car for monsoon driving,safety
Electric car with solar panel,fuel
Car with sport tuned engine,performance
Car with good legroom rear,comfort
Budget car for middle class,budget
Car with high torque,performance
Car with mud mode terrain,off_road
Car that protects in crash,safety
Mileage pe dhyan dene wali car,mileage
Car for someone nervous about driving,first_car
Pocket friendly car India,budget
Car that handles corners well,performance
Car that handles city potholes well,comfort
Best entry car India first time,first_car
Powerful engine gadi India,performance
Saat log wali gaadi,family
Best car to learn driving on,first_car
Fully automatic car India no manual,automatic
Car with highest crash test score,safety
Relaxed driving experience car,comfort
Best deal car India,budget
Strong hybrid car India,fuel
Cheap car good mileage India,budget
Car with good speaker system,comfort
Car with disc brakes all round,safety
AMT car India,automatic
Paanch seater family car India,family
Best mileage car under 12 lakhs,mileage
Cheap city car India,budget
Automatic car for women drivers,automatic
Car with captain seats second row,family
Real world 22 kmpl car India,mileage
Car with speed limiter for safety,safety
Car with pedestrian detection,safety
Best family SUV under 25 lakhs,family
Kam tel peene wali gaadi,mileage
Easy drive clutchless car India,automatic
Car with DC fast charger,fuel
Naturally aspirated petrol car,fuel
Car with best charging network India,fuel
Car saves fuel in traffic,mileage
Zyada mileage dene wali car,mileage
7 seater under 20 lakhs India,family
Most comfortable hatchback India,comfort
Economical daily driver India,budget
Car with light steering city comfort,comfort
Car for young driver India,first_car
Car with launch control feature India,performance
Car with dual airbags minimum,safety
Affordable EMI car India,budget
Car with aggressive styling performance,performance
Car that saves money on fuel,mileage
Stepping stone first car India,first_car
Automatic car entry level India,automatic
Car for Himachal Pradesh tough roads,off_road
Car with high safety score review,safety
7 seater SUV India,family
Best first car India,first_car
Car with best acceleration,performance
Car with high bhp output,performance
First car automatic suggestion India,first_car
Car with trip computer mileage,mileage
Fuel efficient SUV India,mileage
Car with 4WD low range transfer case India,off_road
Car that does not break bank,budget
Car with flat bottom steering wheel,performance
Car for someone buying for first time,first_car
Economical car fuel wise,mileage
Affordable 7 seater India,family
Car with most bhp under 20 lakhs,performance
Car with silent engine at idle,comfort
Car with quick 0 60 kmph,performance
Low price car with good features,budget
Automatic car for city traffic,automatic
Car for all terrain adventure India,off_road
Best automatic car under 10 lakhs,automatic
Car with enough boot space,family
Diesel sedan India,fuel
Automatic car for Delhi congestion,automatic
Cheapest automatic car India,budget
Car per litre more km,mileage
Car with best protection in accident,safety
Automatic car for Mumbai traffic jams,automatic
Car absorbs bumps city driving,comfort
Car with 4x4 low ratio,off_road
Automatic electric car India,automatic
Car with 25 plus kmpl mileage,mileage
Car with 4 star NCAP minimum,safety
Car with smooth ride quality,comfort
CNG ya petrol car India,fuel
Automatic sedan India,automatic
Car within 6 lakh rupees,budget
Low fuel bill car India,mileage
Powerful sedan India,performance
Car with DRLs daytime running lights,safety
Car with chrome interior accents,comfort
Car with minimum repairs first buy,first_car
Low displacement high mileage engine,mileage
Mileage wali car,mileage
Car with good headroom,comfort
Car that absorbs road bumps,comfort
Car with tank full long journey,mileage
Car with high horsepower,performance
Car with snow mode driving,off_road
Car for rocky mountain terrain,off_road
Pahad ke liye gaadi,off_road
Car with good wind noise isolation,comfort
Car with adequate knee room rear,comfort
BYD electric car India,fuel
Confidence inspiring first car India,first_car
Car with low down payment,budget
Affordable first car India,first_car
Fuel thrifty car India,mileage
Car that can tackle jungle trails India,off_road
Toyota mileage efficient car,mileage
Affordable car for family,budget
EV with fast charging,fuel
Low cost car maintenance India,budget
Car good for first year driving,first_car
Affordable automatic car India,automatic
MG EV India,fuel
Car with good road noise isolation,comfort
Car with individual rear seat adjustment family,family
Car with ABS on all wheels,safety
Car for Zanskar difficult terrain,off_road
Car with connected app features,comfort
Car with good active safety,safety
Low budget SUV India,budget
Car with engine protection plate,off_road
Car with sunshades rear windows family,family
Compact first car India,first_car
Car with 2 litre turbo petrol,performance
Car with blind spot monitoring,safety
Car under 20 lakhs tight budget,budget
Car with good reliability first time,first_car
Car with performance oriented gearbox,performance
Family car with lowest price India,family
First car manual suggestion India,first_car
Automatic car low maintenance India,automatic
Car with AWD all wheel drive,off_road
Car with quick auto transmission response,automatic
Most kilometres per litre car India,mileage
Automatic car under 6 lakhs,automatic
Car with automatic gearbox features,automatic
Battery powered car India,fuel
First car for couple India,first_car
Bina clutch wali gaadi,automatic
Flex fuel car India,fuel
First car for solo commute,first_car
Car with superior fuel efficiency,mileage
Car without gears India,automatic
Best mileage car under 8 lakhs,mileage
Car with smooth braking feel comfort,comfort
Alto as first car,first_car
Car with traction control off road mode,off_road
Car giving 30 kmpl,mileage
Car with collision warning,safety
Best suspension quality car India,comfort
Car with best kmpl,mileage
Family MPV India,family
Family SUV India,family
Car with off road suspension setup,off_road
Car with regenerative braking EV,fuel
Automatic car service cost India,automatic
Car with relaxed steering feel,comfort
High mileage CNG car,mileage
Car with low sticker price,budget
Best mileage car under 5 lakhs,mileage
7 seater car India,family
First car low down payment,first_car
Car with 6 airbags,safety
Car that is relaxing to sit in,comfort
Car with AMT no jerk version,automatic
Off road car under 15 lakhs,off_road
Inexpensive car India,budget
Car with auto transmission,automatic
Affordable car without compromise,budget
Car with most space for money,family
Car with wireless Android Auto,comfort
Safe car for night driving,safety
Car with turbo engine,performance
Car with reinforced ladder frame chassis,off_road
Which is better diesel or petrol India,fuel
Car with memory seats,comfort
Car for kachchi sadak,off_road
Car for Himalayan mountain roads,off_road
Car that passes pole impact test,safety
Car with panoramic sunroof,comfort
Car with whiplash protection seats,safety
Car with large passenger capacity,family
High mpg equivalent car India,mileage
Car with winch mount provision,off_road
Luxury feel car affordable India,comfort
Automatic car for new city driver,automatic
Petrol sedan India,fuel
Best SUV ground clearance India,off_road
Practical everyday family car India,family
Car with eco driving mode,mileage
Car with fuel economy mode,mileage
Easy gear automatic car India,automatic
Simple car for first time driver,first_car
Car with sports automatic mode,automatic
Car with wide rear bench seat,comfort
Car with sporty body kit,performance
Car with sliding rear doors family MPV,family
Car with 300 Nm torque,performance
Car that gives mileage even in traffic,mileage
Fuel efficient sedan India,mileage
Cheap automatic car India,automatic
Car with ventilated seats,comfort
Car with good real world mileage,mileage
First car with good boot space,first_car
High mileage car suggestion India,mileage
Car with sunroof India,comfort
Car that alerts when changing lanes,safety
Safe car for elderly passengers,safety
I want a family car,family
Fuel efficient hatchback India,mileage
Car with best overall fuel average,mileage
Car with 5 star NCAP rating,safety
Car with rear AC vents for family,family
Safe car for highway driving,safety
Car for 6 members,family
Car with low running cost first buy,first_car
Mahindra Thar like car India,off_road
Small car for new driver,first_car
Defender type off road car India,off_road
Car with reverse gear automatic smooth,automatic
Car with idle start stop,mileage
Car with good dampers smooth road,comfort
Car for family of 7,family
Car with snorkel option off road,off_road
Car with parking sensors first car,first_car
Car with good departure angle ramp,off_road
Car for college student India,first_car
Car with side airbags,safety
Car with premium cabin quality,comfort
Pehli baar car kharidna,first_car
Car with lifted suspension India,off_road
Car easy to control for beginner,first_car
Car for fresher job holder,first_car
Car with powered seats,comfort
Automatic car with drive modes,automatic
4x4 SUV under 20 lakhs India,off_road
Sports sedan India,performance
Car that is forgiving for new driver,first_car
Long range electric car India,fuel
Car with maximum safety features,safety
Car for new licence holder,first_car
Car for school run,family
Toyota family MPV India,family
Car giving 20 kmpl,mileage
Car with best interior quality India,comfort
Car with brake assist,safety
Automatic car to reduce fatigue driving,automatic
Car with good sound insulation,comfort
Car that does not feel tiring to drive,comfort
Car with short gear throw,performance
Sturdy first car India,first_car
Car with smooth CVT no jerk,automatic
Car with rollover protection,safety
Car with rooftop tent support rails,off_road
Car with ergonomic driver position,comfort
Car with launch control,performance
Car with heated seats winter,comfort
Car for joint family,family
Car with good after sales network first car,first_car
Off road capable car India,off_road
Car with sporty suspension damping,performance
Car with good braking distance,safety
Car with 230mm minimum ground clearance,off_road
Car that does not tire on long drives,comfort
Car with well padded seats,comfort
Car with safe braking on wet roads,safety
Performance car under 15 lakhs India,performance
GTI equivalent car India,performance
Car with good passive safety,safety
First car hatchback suggestion,first_car
DCT dual clutch automatic car,automatic
7 seater under 15 lakhs India,family
Car with performance exhaust,performance
Car that runs on electricity,fuel
Car with flat floor rear comfort,comfort
First car for city use India,first_car
Good starter car India,first_car
Easy to drive first car,first_car
Car with large touchscreen,comfort
Automatic car under 8 lakhs,automatic
Easy to drive automatic car,automatic
Car with rear footrest,comfort
Best DCT car India,automatic
Petrol hybrid car India,fuel
Swift as first car India,first_car
Best fuel for city driving India,fuel
Car with expedition level ground clearance,off_road
Low price reliable car,budget
Surakshit gaadi India,safety
Car that pampers occupants India,comfort
Least fuel consuming car India,mileage
CNG hatchback India,fuel
8 lakh mein car,budget
Diesel car for highway driving,fuel
Maruti mileage champion car,mileage
Car that feels premium inside,comfort
Automatic transmission petrol India affordable,automatic
Gear automatic car suggestion India,automatic
Best AMT car India,automatic
First solo car purchase India,first_car
Car with large chunky off road tyres,off_road
Car with best offer India,budget
Hybrid SUV India,fuel
Car with 360 degree camera safety,safety
Car for forest camping trail,off_road
Best fuel type for Mumbai,fuel
Car with orthopedic seat option,comfort
Car with large cabin family,family
Turbo petrol car India,fuel
Car with 7 speed DCT India,automatic
Car with good structural safety,safety
RS variant car India,performance
Unstoppable off road car India,off_road
Car with best power to weight ratio India,performance
Force Gurkha type car India,off_road
Automatic transmission reliability India,automatic
Global NCAP highest rated car,safety
Cheapest car in India,budget
Wrangler alternative India,off_road
Car with soft touch dashboard,comfort
Auto gear car India recommendation,automatic
Car with leather seats,comfort
Car for Northeast India broken roads,off_road
I want a petrol car,fuel
Car with low range transfer case,off_road
Car with planted feel at speed,comfort
Low budget car good performance,budget
CVT automatic car India,automatic
Car with terrain response modes,off_road
Electric vs petrol car India,fuel
Car for family road trip,family
EV car India,fuel
Car loan friendly budget car,budget
Budget mein best car,budget
Car for rural India bad roads,off_road
Car with fast shifting automatic gearbox,automatic
I want a safe car,safety
Car certified high fuel economy,mileage
Most affordable sedan India,budget
Car with continuously variable transmission,automatic
Car with TPMS tyre pressure monitoring,safety
Reliable family car India,family
Car with solid rear axle off road,off_road
Car with good overtaking ability,performance
Car with proven crash safety India,safety
Car with sliding rear door,family
Car with good visibility comfort,comfort
Car with performance badge,performance
Car with portable EV charger,fuel
Family car India recommendation,family
Diesel car high mileage India,mileage
Car under 14 lakhs,budget
Budget family car India,family
Car with massage seats,comfort
Car with micro hybrid system,mileage
Car with reversing camera for beginner,first_car
Affordable EV India,fuel
Automatic car with sport mode,automatic
Car brand good for first time India,first_car
Best car under 7 lakh,budget
Torque converter automatic car India,automatic
Kam daam mein acchi car,budget
Car with consistent highway mileage,mileage
Affordable diesel car India,budget
Minivan India family,family
Car with fastest 0 to 100 kmph India,performance
Real world 20 kmpl car India,mileage
Car for rough terrain India affordable,off_road
NCAP 5 star car India,safety
Highest ground clearance car India,off_road
Reasonably priced car India,budget
Car with 8 speed automatic India,automatic
Car with high redline,performance
Car with long suspension travel,off_road
Jeep like off roader India,off_road
Jungle trail capable car India,off_road
Car with auto door unlock in accident,safety
SUV for rough terrain,off_road
Car with driver attention alert,safety
Car with locking rear differential,off_road
7 seater SUV for family India,family
Family car that is practical,family
Easy drive first purchase car India,first_car
Car for stop and go traffic automatic,automatic
Car with automatic transmission and sunroof,automatic
Car tested for occupant protection,safety
Car with best safety rating,safety
Best fuel economy car 2024 India,mileage
Hybrid car India,fuel
Car with hill descent control,off_road
Car for family of 5,family
Car with 4x4 capability,off_road
3 row SUV India,family
Automatic SUV under 15 lakhs,automatic
Car with good axle articulation,off_road
Car with low fuel consumption,mileage
Fuel type suggestion India,fuel
Car with M sport tuning,performance
Looking for a budget friendly car,budget
First car under 8 lakhs India,first_car
First car with strong body,first_car
Honda hybrid India,fuel
Low budget MPV India,budget
Safe family car India,safety
5 lakh mein car,budget
Car for flood prone area driving,off_road
Electric hatchback India,fuel
Car suitable for elderly parents,family
Car with rear blind for privacy family,family
Car with high output engine India,performance
Car within 16 lakh,budget
Tez raftaar car India,performance
Car with smooth automatic no jerk India,automatic
Hybrid sedan India,fuel
Car with brembo brakes,performance
Car for monsoon flooded street India,off_road
Car with rear camera for safety,safety
Sasta car India,budget
Car with sporty exhaust note,performance
I want a comfortable car,comfort
Car with large displacement engine India,performance
Car with pretensioner seatbelts,safety
Car with excellent real mileage,mileage
Car with responsive DCT gearbox,automatic
No frills reliable first car India,first_car
Car with ottoman rear seat,comfort
AGS auto gear shift car India,automatic
Family car with ambient lighting,family
Safe beginner car India,first_car
Zero emission car India,fuel
Best AMT car India 2024,automatic
Sabse safe car India,safety
Which fuel type car to buy,fuel
Automatic gear wali car India,automatic
Maruti hybrid car India,fuel
Car with premium suspension tuning,comfort
Car with fuel efficiency certificate,mileage
Car with rock sliders protection,off_road
Comfortable commute car India,comfort
Family SUV with third row,family
Car that does not pitch on braking,comfort
EV with 400 km range India,fuel
Tight budget car suggestion,budget
Family car with good ground clearance,family
Toyota hybrid India,fuel
Automatic car under 20 lakhs,automatic
Car with short overhangs off road,off_road
Car with speed alert system,safety
Car under 7 lakhs,budget
Car with twin turbo engine,performance
Car for parents with baby,family
Petrol se zyada chalti hai car,mileage
Car with ADAS safety suite,safety
Wagon R as first car,first_car
1 litre engine car mileage India,mileage
Hot hatch India,performance
Automatic gearbox car India,automatic
Car that fits whole family,family
Car with best seating for family,family
Lightweight powerful car India,performance
Car with good ground clearance pothole India,off_road
Car with strong engine,performance
Car with reclinable front seat,comfort
Most fuel efficient car under 10 lakhs,mileage
Best car for road trips comfort India,comfort
Car with intelligent automatic transmission,automatic
Affordable reliable Indian car,budget
Car with sporty gear ratios,performance
Car with low insurance premium,budget
People carrier with 3 rows India,family
Car with sporty suspension setup,performance
Safest sedan India,safety
Car with rear USB ports family,family
Car with lowest fuel cost per km,mileage
Car with adjustable driver seat,comfort
Best value for money car India,budget
Car for off road driving,off_road
Value for money hatchback,budget
Car with best mileage in class,mileage
Car with child safety locks,safety
Automatic hybrid car India,automatic
Car with children in mind,family
Most fuel efficient car India,mileage
